# file...... /home/daviddiaz/Documents/react/backend-simulador/uploads/66a7ee75e0a2800466cf3b80/records/data_solar.csv
# date...... Mon Jul 29 13:45:27 2024
# user...... daviddiaz
# host...... (null)
# target.... inverter 15
# trigger... (none)
# interval.. 5
# limit..... 0
# timestamp,P_Out, Q_Out, V_In
2009-01-01 00:08:10 PST,+0,-0,+27.271+0i
2009-01-01 00:08:15 PST,+0,-0,+27.271+0i
2009-01-01 00:08:20 PST,+0,-0,+27.271+0i
2009-01-01 00:08:25 PST,+0,-0,+27.271+0i
2009-01-01 00:08:30 PST,+0,-0,+27.271+0i
2009-01-01 00:08:35 PST,+0,-0,+27.271+0i
2009-01-01 00:08:40 PST,+0,-0,+27.271+0i
2009-01-01 00:08:45 PST,+0,-0,+27.271+0i
2009-01-01 00:08:50 PST,+0,-0,+27.271+0i
2009-01-01 00:08:55 PST,+0,-0,+27.271+0i
2009-01-01 00:09:00 PST,+0,-0,+27.271+0i
2009-01-01 00:09:05 PST,+0,-0,+27.2711+0i
2009-01-01 00:09:10 PST,+0,-0,+27.2711+0i
2009-01-01 00:09:15 PST,+0,-0,+27.2711+0i
2009-01-01 00:09:20 PST,+0,-0,+27.2711+0i
2009-01-01 00:09:25 PST,+0,-0,+27.2711+0i
2009-01-01 00:09:30 PST,+0,-0,+27.2711+0i
2009-01-01 00:09:35 PST,+0,-0,+27.2711+0i
2009-01-01 00:09:40 PST,+0,-0,+27.2711+0i
2009-01-01 00:09:45 PST,+0,-0,+27.2711+0i
2009-01-01 00:09:50 PST,+0,-0,+27.2711+0i
2009-01-01 00:09:55 PST,+0,-0,+27.2711+0i
2009-01-01 00:10:00 PST,+0,-0,+27.2711+0i
2009-01-01 00:10:05 PST,+0,-0,+27.2712+0i
2009-01-01 00:10:10 PST,+0,-0,+27.2712+0i
2009-01-01 00:10:15 PST,+0,-0,+27.2712+0i
2009-01-01 00:10:20 PST,+0,-0,+27.2712+0i
2009-01-01 00:10:25 PST,+0,-0,+27.2712+0i
2009-01-01 00:10:30 PST,+0,-0,+27.2712+0i
2009-01-01 00:10:35 PST,+0,-0,+27.2712+0i
2009-01-01 00:10:40 PST,+0,-0,+27.2712+0i
2009-01-01 00:10:45 PST,+0,-0,+27.2712+0i
2009-01-01 00:10:50 PST,+0,-0,+27.2712+0i
2009-01-01 00:10:55 PST,+0,-0,+27.2712+0i
2009-01-01 00:11:00 PST,+0,-0,+27.2712+0i
2009-01-01 00:11:05 PST,+0,-0,+27.2713+0i
2009-01-01 00:11:10 PST,+0,-0,+27.2713+0i
2009-01-01 00:11:15 PST,+0,-0,+27.2713+0i
2009-01-01 00:11:20 PST,+0,-0,+27.2713+0i
2009-01-01 00:11:25 PST,+0,-0,+27.2713+0i
2009-01-01 00:11:30 PST,+0,-0,+27.2713+0i
2009-01-01 00:11:35 PST,+0,-0,+27.2713+0i
2009-01-01 00:11:40 PST,+0,-0,+27.2713+0i
2009-01-01 00:11:45 PST,+0,-0,+27.2713+0i
2009-01-01 00:11:50 PST,+0,-0,+27.2713+0i
2009-01-01 00:11:55 PST,+0,-0,+27.2713+0i
2009-01-01 00:12:00 PST,+0,-0,+27.2713+0i
2009-01-01 00:12:05 PST,+0,-0,+27.2714+0i
2009-01-01 00:12:10 PST,+0,-0,+27.2714+0i
2009-01-01 00:12:15 PST,+0,-0,+27.2714+0i
2009-01-01 00:12:20 PST,+0,-0,+27.2714+0i
2009-01-01 00:12:25 PST,+0,-0,+27.2714+0i
2009-01-01 00:12:30 PST,+0,-0,+27.2714+0i
2009-01-01 00:12:35 PST,+0,-0,+27.2714+0i
2009-01-01 00:12:40 PST,+0,-0,+27.2714+0i
2009-01-01 00:12:45 PST,+0,-0,+27.2714+0i
2009-01-01 00:12:50 PST,+0,-0,+27.2714+0i
2009-01-01 00:12:55 PST,+0,-0,+27.2714+0i
2009-01-01 00:13:00 PST,+0,-0,+27.2714+0i
2009-01-01 00:13:05 PST,+0,-0,+27.2715+0i
2009-01-01 00:13:10 PST,+0,-0,+27.2715+0i
2009-01-01 00:13:15 PST,+0,-0,+27.2715+0i
2009-01-01 00:13:20 PST,+0,-0,+27.2715+0i
2009-01-01 00:13:25 PST,+0,-0,+27.2715+0i
2009-01-01 00:13:30 PST,+0,-0,+27.2715+0i
2009-01-01 00:13:35 PST,+0,-0,+27.2715+0i
2009-01-01 00:13:40 PST,+0,-0,+27.2715+0i
2009-01-01 00:13:45 PST,+0,-0,+27.2715+0i
2009-01-01 00:13:50 PST,+0,-0,+27.2715+0i
2009-01-01 00:13:55 PST,+0,-0,+27.2715+0i
2009-01-01 00:14:00 PST,+0,-0,+27.2716+0i
2009-01-01 00:14:05 PST,+0,-0,+27.2716+0i
2009-01-01 00:14:10 PST,+0,-0,+27.2716+0i
2009-01-01 00:14:15 PST,+0,-0,+27.2716+0i
2009-01-01 00:14:20 PST,+0,-0,+27.2716+0i
2009-01-01 00:14:25 PST,+0,-0,+27.2716+0i
2009-01-01 00:14:30 PST,+0,-0,+27.2716+0i
2009-01-01 00:14:35 PST,+0,-0,+27.2716+0i
2009-01-01 00:14:40 PST,+0,-0,+27.2716+0i
2009-01-01 00:14:45 PST,+0,-0,+27.2716+0i
2009-01-01 00:14:50 PST,+0,-0,+27.2716+0i
2009-01-01 00:14:55 PST,+0,-0,+27.2716+0i
2009-01-01 00:15:00 PST,+0,-0,+27.2717+0i
2009-01-01 00:15:05 PST,+0,-0,+27.2717+0i
2009-01-01 00:15:10 PST,+0,-0,+27.2717+0i
2009-01-01 00:15:15 PST,+0,-0,+27.2717+0i
